H_cluster_id,cluster_id,id,A,AP,AF,AS,S,R,APF,AR,lable
(2124),2124,1345,0.910662824207,0.0864553314121,0.0,0.0028818443804,0.0,0.0,0.0,0.0,HTTPs
(1663),1663,356,0.967105263158,0.0263157894737,0.0,0.0,0.00657894736842,0.0,0.0,0.0,HTTP
(1268),1268,313,0.937142857143,0.0114285714286,0.0,0.00571428571429,0.0,0.0457142857143,0.0,0.0,HTTP
((1501)((1511)(1515))),1501,48,0.36,0.56,0.04,0.02,0.02,0.0,0.0,0.0,HTTP
((1501)((1511)(1515))),1501,185,0.333333333333,0.5,0.0333333333333,0.0166666666667,0.0166666666667,0.0166666666667,0.0833333333333,0.0,HTTP
((1501)((1511)(1515))),1511,62,0.952941176471,0.0235294117647,0.0117647058824,0.0117647058824,0.0,0.0,0.0,0.0,HTTP
((1501)((1511)(1515))),1511,177,0.955056179775,0.0224719101124,0.0112359550562,0.0112359550562,0.0,0.0,0.0,0.0,HTTP
((1501)((1511)(1515))),1515,68,0.513513513514,0.445945945946,0.027027027027,0.0,0.0135135135135,0.0,0.0,0.0,HTTP
((1501)((1511)(1515))),1515,196,0.508771929825,0.456140350877,0.0175438596491,0.0,0.0175438596491,0.0,0.0,0.0,HTTP
(2123),2123,1343,0.803921568627,0.176470588235,0.0,0.0196078431373,0.0,0.0,0.0,0.0,HTTPs
(2123),2123,1465,0.806451612903,0.177419354839,0.0,0.0161290322581,0.0,0.0,0.0,0.0,HTTPs
(2140),2140,1376,0.488888888889,0.488888888889,0.0,0.0111111111111,0.0111111111111,0.0,0.0,0.0,HTTP
(1616),1616,246,0.842105263158,0.122807017544,0.0175438596491,0.0175438596491,0.0,0.0,0.0,0.0,HTTPs
(1665),1665,361,0.446428571429,0.517857142857,0.0,0.0178571428571,0.0178571428571,0.0,0.0,0.0,HTTP
(1665),1665,385,0.460317460317,0.52380952381,0.0,0.0,0.015873015873,0.0,0.0,0.0,HTTP
(1278),1278,1386,0.835820895522,0.10447761194,0.0149253731343,0.0149253731343,0.0149253731343,0.0,0.0149253731343,0.0,HTTP
(1278),1278,1710,0.828125,0.109375,0.015625,0.015625,0.015625,0.0,0.015625,0.0,HTTP
(1278),1278,2079,0.830188679245,0.0943396226415,0.0188679245283,0.0188679245283,0.0188679245283,0.0,0.0188679245283,0.0,HTTP
(2231),2231,1617,0.764705882353,0.220588235294,0.0,0.0147058823529,0.0,0.0,0.0,0.0,HTTP
(1778),1778,582,0.875,0.0892857142857,0.0,0.0,0.0178571428571,0.0,0.0178571428571,0.0,HTTPs
(1875),1875,763,0.848101265823,0.126582278481,0.0,0.0126582278481,0.0126582278481,0.0,0.0,0.0,HTTP
(1875),1875,1963,0.85393258427,0.123595505618,0.0,0.0112359550562,0.0112359550562,0.0,0.0,0.0,HTTP
(2121),2121,1336,0.786885245902,0.147540983607,0.016393442623,0.016393442623,0.016393442623,0.0,0.016393442623,0.0,HTTP
(1660),1660,347,0.724137931034,0.206896551724,0.0172413793103,0.0172413793103,0.0172413793103,0.0,0.0172413793103,0.0,IMAPS
(894),894,786,0.897435897436,0.0769230769231,0.0128205128205,0.0128205128205,0.0,0.0,0.0,0.0,HTTP
(894),894,1197,0.884615384615,0.0769230769231,0.0192307692308,0.0192307692308,0.0,0.0,0.0,0.0,HTTP
(894),894,1642,0.88,0.08,0.02,0.02,0.0,0.0,0.0,0.0,HTTP
(2462),2462,2195,0.899159663866,0.0840336134454,0.00840336134454,0.00840336134454,0.0,0.0,0.0,0.0,HTTP
(1442),1442,2351,0.66,0.26,0.02,0.02,0.02,0.0,0.02,0.0,HTTPs
(1661),1661,349,0.686274509804,0.235294117647,0.0392156862745,0.0196078431373,0.0196078431373,0.0,0.0,0.0,HTTPs
(1661),1661,728,0.690909090909,0.236363636364,0.0363636363636,0.0181818181818,0.0181818181818,0.0,0.0,0.0,HTTPs
(1264),1264,1566,0.75,0.171875,0.03125,0.015625,0.015625,0.0,0.015625,0.0,HTTP
(1894),1894,807,0.876033057851,0.118457300275,0.0,0.00275482093664,0.00275482093664,0.0,0.0,0.0,HTTP
(2060),2060,1185,0.730769230769,0.217948717949,0.025641025641,0.0128205128205,0.0128205128205,0.0,0.0,0.0,HTTPs
(2060),2060,1804,0.727272727273,0.212121212121,0.030303030303,0.0151515151515,0.0151515151515,0.0,0.0,0.0,HTTPs
(1911),1911,846,0.810344827586,0.120689655172,0.0344827586207,0.0172413793103,0.0172413793103,0.0,0.0,0.0,HTTP
(2379),2379,1981,0.927272727273,0.069696969697,0.0,0.0030303030303,0.0,0.0,0.0,0.0,HTTP
(1037),1037,535,0.988246816846,0.00930460333007,0.00048971596474,0.00048971596474,0.00048971596474,0.00048971596474,0.0,0.00048971596474,HTTPs
(593),593,934,0.906279287723,0.0899718837863,0.00187441424555,0.000937207122774,0.000937207122774,0.0,0.0,0.0,HTTPs
(2519),2519,2344,0.582089552239,0.417910447761,0.0,0.0,0.0,0.0,0.0,0.0,HTTPs
(1395),1395,2265,0.8,0.166666666667,0.0,0.0111111111111,0.0111111111111,0.0,0.0111111111111,0.0,HTTP
